0,41641.81
1,43328.38
2,44461.46
3,44688.28
4,45888.61
5,42498.67
6,45252.89
7,51111.84
8,51916.34
9,51884.26
10,53784.47
11,51869.59
12,49111.84
13,49163.82
14,51671.17
15,51286.31
16,51228.42
17,50542.4
18,50848.94
19,51295.42
20,51240.1
21,51311.12
22,52031.19
23,51227.75
24,49443.47
25,49430.37
26,50335.1
27,51914.57
28,52591.14
29,52591.04
30,53839.45
31,52330.55
32,51291.95
33,52461.22
34,52753.06
35,53340.82
36,55023.74
37,59149.17
38,60972.31
39,58901.46
40,61982.16
41,65151.31
42,70022.91
43,65829.26
44,66019.71
45,62981.51
46,62601.6
47,73030.08
48,83731.12
49,66582.64
50,65673.94
51,67482.91
52,64354.23
53,62927.69
54,64720.92
55,64570.53
56,65726.95
57,66713.18
58,66180.6
59,64631.75
60,62694.65
61,65112.35
62,65408.72
63,66056.45
64,65521.44
65,67704.6
66,66672.87
67,69307.67
68,73245.45
69,74335.72
70,76483.44
71,74554.01
72,76396.78
73,76482.4
74,76384.92
75,77473.66
76,80076.96
77,82250.85
78,85195.4
79,84564.79
80,73060.1
81,80006.84
82,78465.78
83,78599.58
84,80566.88
85,90443.49
86,100565.02
87,90786.98
88,90972.98
89,93592.05
90,91865.39
91,93716.76
92,95958.71
93,95348.88
94,95033.82
95,94491.42
96,91610.75
97,117934.3
98,98728.52
99,93578.3
100,95837.03
101,98835.13
102,85524.42
103,87200.63
104,88559.68
105,85030.95
106,92361.26
107,88380.02
108,76996.58
109,77406.23
110,80288.25
111,82668.67
112,86667.17
113,89489.26
114,89792.87
115,89798.48
116,93400.57
117,93111.81
118,93148.55
119,100536.54
120,99322.08
121,101587.55
122,130028.76
123,132100.15
124,123647.34
125,124203.66
126,124608.0
127,120970.59
128,121825.81
129,114462.9
130,107780.11
131,103245.85
132,101061.98
133,101694.67
134,100363.6
135,106985.57
136,105887.55
137,113275.56
138,100524.82
139,98879.41
140,103375.14
141,103166.08
142,103077.73
143,108609.37
144,107664.46
145,116371.33
146,118178.89
147,109527.56
148,122732.75
149,119333.08
150,116344.55
151,118661.61
152,116166.7
153,123533.15
154,119871.82
155,119630.34
156,112462.77
157,110431.02
158,111522.88
159,111729.15
160,111731.18
161,113917.2
162,112741.24
163,108860.65
164,108325.08
165,111029.64
166,109723.04
167,115598.04
168,110695.34
169,101586.46
170,97232.73
171,95339.84
172,98093.76
173,100410.0
174,109801.31
175,114313.89
176,118546.62
177,118488.31
178,116523.68
